AccidentDate,Timing,State,WeatherCondition,RoadCondition,Deaths,Reason
04-02-2013,Morning,Alaska,Rainy,Under Construction,10,Drunk Driving
23-02-2005,Night,Arizona,Clear,Under Construction,3,Weather Conditions
08-10-2014,Afternoon,California,Clear,Fine,6,Poor Visibility
14-01-2015,Night,Colorado,Rainy,Rough,8,Road Conditions
17-01-2006,Afternoon,Georgia,Clear,Fine,2,Speeding
07-04-2019,Morning,Indiana,Clear,Rough,2,Road Conditions
15-07-2022,Morning,Louisiana,Foggy,Under Construction,4,Speeding
30-08-2006,Night,Nevada,Rainy,Fine,0,Speeding
30-12-2015,Evening,Montana,Foggy,Under Construction,2,Reckless Driving
14-07-2021,Night,Georgia,Clear,Rough,5,Weather Conditions
13-03-2013,Afternoon,Indiana,Foggy,Rough,6,Weather Conditions
16-12-2022,Afternoon,New Jersey,Foggy,Under Construction,6,Distracted Driving
15-03-2009,Afternoon,California,Rainy,Rough,1,Distracted Driving
20-06-2009,Morning,New Mexico,Clear,Under Construction,1,Poor Visibility
15-06-2019,Morning,New York,Foggy,Rough,0,Speeding
06-01-2017,Morning,Georgia,Foggy,Fine,5,Poor Visibility
12-07-2018,Night,Ohio,Rainy,Under Construction,1,Road Conditions
26-01-2008,Morning,Nevada,Foggy,Rough,8,Drunk Driving
24-02-2020,Morning,Indiana,Clear,Rough,0,Weather Conditions
20-07-2015,Morning,Pennsylvania,Clear,Under Construction,1,Distracted Driving
19-02-2007,Afternoon,Texas,Rainy,Fine,2,Speeding
28-04-2016,Night,Indiana,Rainy,Rough,5,Driver Fatigue
29-11-2023,Afternoon,Virginia,Rainy,Under Construction,6,Reckless Driving
14-02-2019,Night,Washington,Rainy,Fine,10,Speeding
09-12-2007,Night,Alaska,Foggy,Fine,2,Drunk Driving
23-12-2023,Afternoon,North Carolina,Clear,Rough,2,Poor Visibility
25-12-2023,Afternoon,South Carolina,Rainy,Rough,6,Reckless Driving
17-09-2018,Night,Wisconsin,Foggy,Under Construction,10,Mechanical Failure
15-06-2005,Afternoon,Pennsylvania,Foggy,Fine,10,Reckless Driving
30-04-2010,Morning,Wyoming,Rainy,Under Construction,5,Reckless Driving
